card_id,title,type,year_file,hero_url,hero_exists,hero_size,hero_is_ai,legacy_image_url,legacy_image_exists,gallery_count,gallery_missing,gallery_urls,has_related_content
political_1876_01,강화도조약 — 닫힌 문이 열리다,political,1876.js,assets/images/entity/event/event_political_1876_01_01.webp,True,121480,false,,,0,0,,False
policy_1880_01,조선책략과 영남만인소 — 갈라진 길,policy,1880.js,assets/images/entity/event/event_policy_1880_01_01.webp,True,23280,false,,,0,0,,False
institution_1880_01,통리기무아문 설치,organization,1880.js,assets/images/entity/person/person_김홍집_01.webp,True,23280,false,,,0,0,,False
international_1881_01,조사시찰단 파견,international,1881.js,assets/images/entity/person/person_홍영식_01.webp,True,20716,false,,,0,0,,False
political_1882_01,임오군란 — 구식 군인의 봉기,movement,1882.js,assets/images/entity/event/event_political_1882_01_01.webp,True,136898,true,,,0,0,,False
policy_1883_01,박문국과 한성순보 — 첫 근대 신문,policy,1883.js,assets/images/entity/event/event_policy_1883_01_01.webp,True,60578,false,,,0,0,,False
plot_1884_01,갑신정변 — 사흘 천하,plot,1884.js,assets/images/entity/event/event_plot_1884_01_01.webp,True,810688,false,,,2,0,assets/images/entity/person/person_박영효_01.webp;assets/images/entity/person/person_김옥균_01.webp,False
movement_1894_01,동학농민운동 — 제1차 봉기,movement,1894.js,assets/images/entity/event/event_movement_1894_01_01.webp,True,103110,true,,,0,0,,False
battle_1894_01,우금치 전투 — 동학농민군의 최후,battle,1894.js,assets/images/entity/event/event_battle_1894_01_01.webp,True,58628,true,,,0,0,,False
plot_1895_01,을미사변 — 명성황후 시해,plot,1895.js,assets/images/entity/event/event_plot_1895_01_01.webp,True,81900,true,,,0,0,,False
movement_1895_01,을미의병 — 첫 항일 의병,movement,1895.js,assets/images/entity/event/event_movement_1895_01_01.webp,True,66484,false,,,0,0,,False
organization_1896_01,독립협회 창립,organization,1896.js,assets/images/entity/person/person_서재필_01.webp,True,124588,true,,,0,0,,False
organization_1897_01,독립문 완공,organization,1897.js,assets/images/entity/event/event_organization_1897_01_01.webp,True,523826,false,,,0,0,,False
person_1898_01,흥선대원군 별세,person,1898.js,assets/images/entity/person/person_흥선대원군_01.webp,True,244654,false,,,0,0,,False
policy_1905_01,을사늑약 — 외교권을 빼앗기다,policy,1905.js,assets/images/entity/event/event_policy_1905_01_01.webp,True,94746,true,,,4,0,assets/images/entity/person/person_박제순_01.webp;assets/images/entity/person/person_이근택_01.webp;assets/images/entity/person/person_이지용_01.webp;assets/images/entity/person/person_권중현_01.webp,True
righteous_1906_01,최익현 의병 봉기와 순국,righteous,1906.js,assets/images/entity/event/event_righteous_1906_01_01.webp,True,1456560,false,,,0,0,,False
political_1907_01,헤이그 특사 — 만국평화회의의 호소,political,1907.js,assets/images/entity/event/event_political_1907_01_01.webp,True,11808,false,,,1,0,assets/images/entity/person/person_이준_01.webp,False
political_1907_02,고종 강제퇴위,political,1907.js,assets/images/entity/event/event_political_1907_02_01.webp,True,614112,false,,,1,0,assets/images/entity/person/person_고종_01.webp,False
policy_1907_01,정미7조약 — 차관정치와 통치권 장악,policy,1907.js,,,,,,,0,0,,True
organization_1907_01,신민회 결성 — 비밀결사의 시작,organization,1907.js,assets/images/entity/event/event_organization_1907_01_01.webp,True,17996,false,,,0,0,,False
righteous_1908_01,전명운·장인환 스티븐스 저격,righteous,1908.js,assets/images/entity/event/event_righteous_1908_01_01.webp,True,16156,false,,,2,0,assets/images/entity/person/person_전명운_01.webp;assets/images/entity/person/person_장인환_01.webp,False
organization_1909_01,동의단지회 — 안중근의 단지동맹,organization,1909.js,assets/images/entity/event/event_organization_1909_01_01.webp,True,17516,false,,,0,0,,False
righteous_1909_01,안중근 하얼빈 의거 — 이토 히로부미 처단,righteous,1909.js,assets/images/entity/event/event_righteous_1909_01_01.webp,True,182318,true,,,1,0,assets/images/entity/person/person_이토히로부미_01.webp,False
policy_1910_01,경술국치 — 한일병합조약 공포,policy,1910.js,assets/images/entity/event/event_policy_1910_01_01.webp,True,404420,false,,,0,0,,True
person_1910_03,이완용 — 병합을 체결한 매국의 얼굴,person,1910.js,assets/images/entity/person/person_이완용_01.webp,True,193212,false,,,0,0,,False
person_1910_04,안중근 순국 — 뤼순 감옥의 마지막,person,1910.js,assets/images/entity/person/person_안중근_01.webp,True,68744,true,,,0,0,,False
organization_1911_01,신흥강습소 설립 — 서간도 독립군 기지,organization,1911.js,assets/images/entity/event/event_organization_1911_01_01.webp,True,182088,false,,,0,0,,False
organization_1913_01,흥사단 창립 — 안창호의 인격수양운동,organization,1913.js,assets/images/entity/event/event_organization_1913_01_01.webp,True,125422,true,,,0,0,,False
person_1913_01,안창호 — 미주 한인사회의 지도자,person,1913.js,assets/images/entity/person/person_안창호_01.webp,True,125422,true,,,0,0,,False
organization_1914_01,대한광복군정부 수립,organization,1914.js,assets/images/entity/event/event_organization_1914_01_01.webp,True,70284,false,,,0,0,,False
person_1914_01,이상설 — 연해주 독립운동의 구심,person,1914.js,assets/images/entity/person/person_이상설_01.webp,True,41838,false,,,0,0,,False
person_1914_04,최재형 — 연해주 한인사회의 페치카,person,1914.js,assets/images/entity/person/person_최재형_01.webp,True,160050,true,,,0,0,,False
organization_1915_01,대한광복회 결성 — 1910년대 최대 비밀결사,organization,1915.js,assets/images/entity/event/event_organization_1915_01_01.webp,True,26766,false,,,0,0,,False
person_1916_01,서일 — 북간도 대종교 무장운동의 총재,person,1916.js,assets/images/entity/person/person_서일_01.webp,True,106630,true,,,0,0,,False
political_1917_01,대동단결선언 — 국민주권의 첫 선언,political,1917.js,assets/images/entity/event/event_political_1917_01_01.webp,True,12584,false,,,0,0,,False
person_1917_01,신규식 — 상하이 독립운동의 개척자,person,1917.js,assets/images/entity/person/person_신규식_01.webp,True,12584,false,,,0,0,,False
political_1918_01,무오독립선언 — 해외 39인의 독립선언,political,1918.js,assets/images/entity/person/person_조소앙_01.webp,True,133392,false,,,0,0,,False
policy_1918_01,토지조사사업 완료 — 수탈의 마무리,policy,1918.js,assets/images/entity/event/event_policy_1918_01_01.webp,True,62020,false,,,0,0,,False
person_1918_01,김알렉산드라 — 한인 최초의 볼셰비키,person,1918.js,assets/images/entity/person/person_김알렉산드라_01.webp,True,63394,false,,,0,0,,False
movement_1919_02,3·1운동 — 거족적 독립만세운동,movement,1919.js,assets/images/entity/event/event_movement_1919_02_01.webp,True,71030,true,,,1,0,assets/images/entity/person/person_이승훈_01.webp,False
movement_1919_03,아우내 장터 만세운동,movement,1919.js,assets/images/entity/event/event_movement_1919_03_01.webp,True,43282,true,,,0,0,,False
massacre_1919_01,제암리 학살 사건,massacre,1919.js,assets/images/entity/event/event_massacre_1919_01_01.webp,True,299088,false,,,0,0,,False
massacre_1919_02,수촌리 학살 사건,massacre,1919.js,assets/images/entity/event/event_massacre_1919_02_01.webp,True,42308,false,,,0,0,,False
